Latin Thugs (feat. Tego Calderón),Cypress Hill,Hip-Hop/Rap,6,1991
Summertime,DJ Jazzy Jeff & The Fresh Prince,Hip-Hop/Rap,26,1991
Now That We Found Love (feat. Aaron Hall),Heavy D & The Boyz,Hip-Hop/Rap,28,1991
Romantic,Karyn White,Dance,24,1991
It Ain't Over 'Til It's Over,Lenny Kravitz,Rock,5,1991
Emotions,Mariah Carey,R&B/Soul,58,1991
Good Vibrations (feat. Loleatta Holloway),Marky Mark and the Funky Bunch & Loleatta Holloway,Hip-Hop/Rap,162,1991
To Be with You,Mr. Big,Hard Rock,26,1991
To Be with You,Mr. Big,Hard Rock,2,1991
O.P.P,Naughty By Nature,Hardcore,11,1991
Baby Come Back,Player,Rock,7,1991
Losing My Religion,R.E.M.,Alternative,18,1991
Losing My Religion,R.E.M.,Alternative,3,1991
Under the Bridge,Red Hot Chili Peppers,Alternative,1,1991
The Glamorous Life (Re-Recorded),Sheila E.,Pop,22,1991
Stars,Simply Red,Pop,19,1991
Two Princes,Spin Doctors,Rock,36,1991
Hold You Tight,Tara Kemp,Rock,11,1991
Walking On Broken Glass,Annie Lennox,Pop,19,1992
On Bended Knee,Boyz II Men,R&B/Soul,13,1992
Friday I'm In Love,The Cure,Alternative,2,1992
Free Your Mind,En Vogue,R&B/Soul,3,1992
Tears in Heaven,Eric Clapton,Rock,2,1992
Sweat (A La La La La Long),Inner Circle,Reggae,46,1992
Don't Walk Away,Jade,Dance,30,1992
Live and Learn,Joe Public,R&B/Soul,5,1992
Jump,Kris Kross,Hip-Hop/Rap,155,1992
Someday (I'm Coming Back),Lisa Stansfield,Soundtrack,4,1992
"I'll Be There (feat. Trey Lorenz) [Live at MTV Unplugged, Kaufman Astoria Studios, New York - March 1992]",Mariah Carey,Pop,9,1992
Real Love,Mary J. Blige,R&B/Soul,10,1992
Real Love,Mary J. Blige,R&B/Soul,81,1992
Just a Girl,No Doubt,Pop,8,1992
Don't Speak,No Doubt,Pop,29,1992
Everybody Hurts,R.E.M.,Alternative,,1992
If I Ever Fall In Love (Original Acapella Version) [Edit],Shai,Vocal,8,1992
Baby Got Back,Sir Mix-A-Lot,Hip-Hop/Rap,5,1992
Rhythm Is a Dancer,Snap!,Dance,15,1992
